termCode,name
CAT01-01,CONCERTS - accompagnement musical d'un film
CAT01-02,CONCERTS - blues / country / folk
CAT01-03,CONCERTS - café-concert
CAT01-04,CONCERTS - chanson française
CAT01-05,CONCERTS - chanson
CAT01-06,CONCERTS - néerlandophone
CAT01-07,CONCERTS - chants / gospels  classique / contemporain / baroque / carillons
CAT01-08,CONCERTS - electronique
CAT01-09,CONCERTS - fanfare
CAT01-10,CONCERTS - festival
CAT01-11,CONCERTS - hip-hop / rap
CAT01-12,CONCERTS - indie / experimental
CAT01-13,CONCERTS - jazz
CAT01-14,CONCERTS - metal / hard rock / hardcore / punk
CAT01-15,CONCERTS - pop / rock / pop-rock
CAT01-16,CONCERTS - reggae / ragga / dub / ska
CAT01-17,CONCERTS - revue / danse cabaret
CAT01-18,CONCERTS - rnb
CAT01-19,CONCERTS - slam
CAT01-20,CONCERTS - soul / funk
CAT01-21,CONCERTS - world (musique du monde) / musique traditionnelle
CAT01-22,CONCERTS - divers
CAT01-00,CONCERTS
CAT02-01,THÉATRE / SPECTACLES - amateur
CAT02-02,THÉATRE / SPECTACLES - professionnel
CAT02-03,THÉATRE / SPECTACLES - cabaret
CAT02-04,THÉATRE / SPECTACLES - cirque
CAT02-05,THÉATRE / SPECTACLES - comédie musicale
CAT02-06,THÉATRE / SPECTACLES - danse
CAT02-07,THÉATRE / SPECTACLES - dialectal
CAT02-08,THÉATRE / SPECTACLES - festival
CAT02-09,THÉATRE / SPECTACLES - humour / comédie
CAT02-10,THÉATRE / SPECTACLES - marionnettes
CAT02-11,THÉATRE / SPECTACLES - opéra
CAT02-12,THÉATRE / SPECTACLES - opérette
CAT02-13,THÉATRE / SPECTACLES - magie
CAT02-14,THÉATRE / SPECTACLES - spectacle
CAT02-15,THÉATRE / SPECTACLES - performances
CAT02-00,THÉATRE / SPECTACLES
CAT03-01,EXPOS - architecture
CAT03-02,EXPOS - arts graphiques
CAT03-03,EXPOS - biennale / triennale
CAT03-04,EXPOS - bijoux
CAT03-05,EXPOS - design
CAT03-06,EXPOS - galerie
CAT03-07,EXPOS - permanente
CAT03-08,EXPOS - peintures
CAT03-09,EXPOS - photographies
CAT03-10,EXPOS - sculptures
CAT03-11,EXPOS - techniques mixtes
CAT03-12,EXPOS - virtuel / audio visuel / interactif
CAT03-13,EXPOS - vernissages  divers
CAT03-00,EXPOS
CAT04-01,ÉVÉNEMENTS POUR ENFANTS - cinema
CAT04-02,ÉVÉNEMENTS POUR ENFANTS - danse
CAT04-03,ÉVÉNEMENTS POUR ENFANTS - exposition
CAT04-04,ÉVÉNEMENTS POUR ENFANTS - lectures / contes
CAT04-05,ÉVÉNEMENTS POUR ENFANTS - marionnettes
CAT04-06,ÉVÉNEMENTS POUR ENFANTS - musique
CAT04-07,ÉVÉNEMENTS POUR ENFANTS - stages
CAT04-08,ÉVÉNEMENTS POUR ENFANTS - théâtre / spectacle
CAT04-09,ÉVÉNEMENTS POUR ENFANTS - divers
CAT04-00,ÉVÉNEMENTS POUR ENFANTS
CAT05-01,CONFÉRENCES / DÉBATS - actualité / economie
CAT05-02,CONFÉRENCES / DÉBATS - appels à projets
CAT05-03,CONFÉRENCES / DÉBATS - art
CAT05-04,CONFÉRENCES / DÉBATS - bien-être / santé
CAT05-05,CONFÉRENCES / DÉBATS - cinéma
CAT05-06,CONFÉRENCES / DÉBATS - danse
CAT05-07,CONFÉRENCES / DÉBATS - histoire
CAT05-08,CONFÉRENCES / DÉBATS - musique
CAT05-09,CONFÉRENCES / DÉBATS - religion / spiritualité
CAT05-10,CONFÉRENCES / DÉBATS - théâtre
CAT05-11,CONFÉRENCES / DÉBATS - actualité / citoyenneté
CAT05-12,CONFÉRENCES / DÉBATS - philosophie
CAT05-13,CONFÉRENCES / DÉBATS - aménagement du territoire / urbanisme
CAT05-14,CONFÉRENCES / DÉBATS - histoire / patrimoine
CAT05-15,CONFÉRENCES / DÉBATS - environnement
CAT05-16,CONFÉRENCES / DÉBATS - divers
CAT05-00,CONFÉRENCES / DÉBATS
CAT06-01,CONTES / LITTÉRATURES - contes
CAT06-02,CONTES / LITTÉRATURES - littérature
CAT06-03,CONTES / LITTÉRATURES - rencontres / dédicaces
CAT06-04,CONTES / LITTÉRATURES - divers
CAT06-00,CONTES / LITTÉRATURES
CAT07-01,CINÉMA - festival
CAT07-02,CINÉMA - projections
CAT07-00,CINÉMA
CAT08-01,ESCAPADES / DÉCOUVERTES / PATRIMOINE - balade
CAT08-02,ESCAPADES / DÉCOUVERTES / PATRIMOINE - château
